Frase,id_item,anotadoras,anotadoras 2(valeria_janaina)
você estava tão lindo,497,Aparência,Aparência
ele é medroso,500,Caráter,Caráter
moço guloso,503,Caráter,Caráter
senhor está quebrado,508,Outro,Aparência
ele está ficando velho,509,Aparência,Aparência
homem feliz,510,Emoção,Caráter
você é imenso,514,Aparência,Aparência
ele é fácil,515,Caráter,Caráter
você é absoluto,522,Outro,Outro
ele é bom,523,Caráter,Caráter
"moços, pobres",527,Papel Social,Papel Social
ele é forte,538,Aparência,Aparência
marinheiro mercante,543,Papel Social,Papel Social
"você, um riso",544,Outro,Aparência
ele é vesgo,545,Aparência,Aparência
senhores deputados,546,Papel Social,Papel Social
moço solitário,549,Outro,Caráter
eles que ficam tontos,551,Outro,Emoção
você sendo poeta,552,Papel Social,Papel Social
senhor) meu capitão,556,Papel Social,Papel Social
ele é saliente,559,Caráter,Caráter
ele é bonito,560,Aparência,Aparência
ele é mulher,562,Aparência,Papel Social
sofre calado,564,Outro,Emoção
você é corpo,566,Aparência,Aparência
namorado legal,572,Caráter,Caráter
"menino, descalço",593,Aparência,Aparência
você será inútil,596,Caráter,Caráter
ele é pai,597,Papel Social,Papel Social
você é amor,599,Emoção,Caráter
você era pobre,601,Papel Social,Papel Social
você é ruim,608,Caráter,Caráter
ele está vazio,609,Outro,Emoção
"provocante, radiante",611,Aparência,Aparência
você é feliz,613,Emoção,Caráter
você é muito legal,615,Caráter,Caráter
homem habilitado,616,Papel Social,Outro
ele é imundo,621,Aparência,Caráter
você era tão grande,624,Aparência,Aparência
homens marginais,625,Papel Social,Papel Social
homem trabalhador,626,Papel Social,Papel Social
você for analfabeto,629,Outro,Papel Social
rapaz legal,630,Caráter,Caráter
homem normal,635,Caráter,Aparência
homem temperamental,637,Caráter,Caráter
homem violento,639,Caráter,Caráter
garoto magrela,643,Aparência,Aparência
ele é sincero,645,Caráter,Caráter
namorado marido,647,Papel Social,Papel Social
ele é poderoso,659,Papel Social,Caráter
você está ferido,660,Outro,Aparência
menino batuqueiro,662,Papel Social,Outro
eles eram tão úteis,664,Caráter,Caráter
ele estava ali tão criança,666,Outro,Aparência
senhor sexagenário,667,Papel Social,Aparência
meninos prodígios,669,Caráter,Caráter
rapaz casado,670,Papel Social,Papel Social
você é sonho,680,Outro,Caráter
você tá louco,686,Emoção,Emoção
você é muito inteligente,689,Caráter,Caráter
homem fica amargo,693,Emoção,Emoção
eles são boêmios,699,Papel Social,Caráter
você está saciado,700,Outro,Emoção
senhor sucesso,701,Papel Social,Outro
ele tá deprimido,707,Emoção,Emoção
paulão tá puto,710,Emoção,Emoção
homem é bicho,737,Caráter,Caráter
ele desempregado,740,Papel Social,Papel Social
mauro é fã,742,Caráter,Papel Social
você está bom,749,Caráter,Aparência
joão gordo,753,Aparência,Aparência
ele foi ser garçon,754,Papel Social,Papel Social
você está confuso,755,Emoção,Emoção
você é doidão,762,Caráter,Caráter
ele é natural,770,Outro,Caráter
você fica parado,771,Outro,Outro
ele está sozinho,777,Outro,Emoção
você está preso,779,Papel Social,Papel Social
ele está aqui sozinho,781,Outro,Aparência
ele estava triste,782,Emoção,Emoção
você parece especial,784,Outro,Caráter
você parece jovem,785,Aparência,Aparência
garoto sozinho,789,Outro,Emoção
homem perfeito,790,Aparência,Aparência
ele era perfeito,792,Aparência,Aparência
ele é pálido,793,Aparência,Aparência
você é fogo,794,Outro,Caráter
cachorro louco,795,Outro,Caráter
senhor delegado,803,Papel Social,Papel Social
rapaz honesto,805,Caráter,Caráter
homem casado,812,Papel Social,Papel Social
garoto problema,813,Caráter,Caráter
homem problema,814,Caráter,Caráter
você está cansado,815,Outro,Emoção
você parece doente,816,Aparência,Aparência
namorado árabe,817,Papel Social,Papel Social
homem sadio,818,Outro,Aparência
você é mau,819,Caráter,Caráter
ele foi feliz,822,Emoção,Caráter
rapaz pobre,823,Papel Social,Papel Social
você vai ser mais feliz,824,Emoção,Emoção
homem hipócrita,826,Caráter,Caráter
homens bombas,829,Papel Social,Caráter
namorado é lutador,830,Papel Social,Papel Social
ele sem-vergonha,833,Caráter,Caráter
joão bobo,834,Caráter,Caráter
benedito é preto,840,Aparência,Aparência
ele foi marginal,843,Papel Social,Papel Social
você está muito enganado,846,Outro,Emoção
ele é tão perfeito,847,Aparência,Aparência
rapaz solteiro,848,Papel Social,Papel Social
homem paralítico,849,Papel Social,Aparência
homem velho,855,Aparência,Aparência
thalles humildade,857,Papel Social,Caráter
ele é frio,858,Caráter,Caráter
você estiver indeciso,860,Outro,Emoção
você estiver confuso,863,Outro,Emoção
eles estão parados,866,Outro,Emoção
você ficasse nu,867,Aparência,Aparência
você foi tão fácil,868,Outro,Caráter
você me pareceu tão distante,870,Outro,Emoção
você é real,876,Outro,Aparência
ele é emotivo,879,Emoção,Emoção
ele é tão bom,881,Caráter,Caráter
homem cego,883,Aparência,Aparência
ele é tão chato,886,Caráter,Caráter
ele ficou agressivo,890,Emoção,Emoção
você tá fadado,894,Outro,Papel Social
você é muito esperto,897,Caráter,Caráter
você é tão simples,899,Caráter,Caráter
namorado pop-star,909,Papel Social,Papel Social
pacato cidadão,914,Outro,Caráter
senhor presidente,916,Papel Social,Papel Social
ele ficou indignado,938,Emoção,Emoção
homem galante,939,Aparência,Aparência
você ser feliz,978,Emoção,Emoção
você é tão inalcansável,979,Outro,Caráter
"gatinho, atraente",980,Aparência,Aparência
ele é lindão,981,Aparência,Aparência
ele é mudo,985,Aparência,Outro
maluquinho doidão,986,Caráter,Caráter
menino impossível,987,Outro,Caráter
"menino, um sonhador",989,Outro,Caráter
menino cantador,990,Caráter,Papel Social
joãozinho foi infeliz,991,Emoção,Emoção
homem fica feio,992,Aparência,Aparência
moço pobre,993,Papel Social,Papel Social
homem barbudo,995,Aparência,Aparência
ele é perigoso,998,Caráter,Caráter
menino pobre,1001,Papel Social,Papel Social
namorado é rei,1014,Papel Social,Papel Social
você for doutor,1015,Papel Social,Papel Social
rei tirano,1022,Papel Social,Caráter
homem ruim,1023,Caráter,Caráter
você é cego,1035,Aparência,Aparência
homens maus,1040,Caráter,Caráter
viro mendigo,1052,Papel Social,Papel Social
garoto pobre,1055,Papel Social,Papel Social
homem bom,1058,Caráter,Papel Social
ele é onipotente,1069,Outro,Caráter
você foi convidado,1070,Outro,Outro
ele é tão bonito,1079,Aparência,Aparência
você tá fudido,1080,Outro,Emoção
elias foi abduzido,1087,Outro,Outro
filho homem,1088,Papel Social,Aparência
menino doido,1092,Caráter,Caráter
você estava era drogado,1094,Outro,Emoção
você está afim,1100,Outro,Emoção
"humilde, sincero",1101,Caráter,Caráter
você ta cansado,1113,Outro,Emoção
você tá maluco,1116,Emoção,Emoção
ele é inocente,1119,Caráter,Papel Social
moço estranho,1126,Outro,Aparência
zé violeiro,1127,Papel Social,Papel Social
homem careca,1128,Aparência,Aparência
homem baixinho,1129,Aparência,Aparência
homem ficou banguela,1133,Aparência,Aparência
você fica depenado,1135,Outro,Aparência
homem simples,1137,Caráter,Caráter
você está louco,1138,Emoção,Emoção
ele zangado,1139,Emoção,Emoção
meritíssimo juiz,1140,Papel Social,Papel Social
moço triste,1141,Emoção,Emoção
fandago estava animado,1142,Emoção,Emoção
senhor caminhoneiro,1144,Papel Social,Papel Social
moço rico,1149,Papel Social,Papel Social
homem solitário,1152,Outro,Caráter
ele nervoso,1153,Emoção,Emoção
"você, meu professor",1155,Papel Social,Papel Social
você é simplesmente irresistível,1157,Aparência,Aparência
homem covarde,1158,Caráter,Caráter
você é muito capaz,1160,Outro,Caráter
senhor radialista,1162,Papel Social,Papel Social
ele era mesmo mesquinho,1163,Papel Social,Caráter
moço ateu,1164,Papel Social,Papel Social
cujo vaqueiro,1165,Papel Social,Papel Social
ele fica feliz,1166,Emoção,Emoção
senhor poderoso,1167,Papel Social,Papel Social
ele tá todo apaixonado,1179,Emoção,Emoção
homem sou reporter,1180,Papel Social,Papel Social
ele era valentão,1182,Caráter,Caráter
severino ficou bravo,1186,Emoção,Emoção
ele tava abandonado,1190,Outro,Emoção
rapaz é difícil,1194,Caráter,Caráter
homem sujo,1196,Aparência,Aparência
ele tá sujo,1201,Aparência,Aparência
moço zumbi,1205,Outro,Aparência
zé tava casado,1208,Papel Social,Papel Social
chico mineiro,1209,Papel Social,Papel Social
homem honrado,1211,Caráter,Caráter
você foi desigual,1215,Outro,Emoção
caboclo rei,1220,Papel Social,Papel Social
caboclo roceiro,1222,Papel Social,Papel Social
caboclo é feliz,1223,Emoção,Caráter
ele é muito conhecido,1224,Emoção,Papel Social
confesso sou prisioneiro,1229,Papel Social,Papel Social
você é culpado,1230,Caráter,Papel Social
homem honesto,1231,Caráter,Caráter
juca traidor,1233,Caráter,Caráter
menino órfão,1234,Papel Social,Papel Social
você ficou velhinho,1235,Aparência,Aparência
timótio grande,1237,Aparência,Aparência
joão boiadeiro,1239,Papel Social,Papel Social
gaúcho guapo,1240,Papel Social,Aparência
fandango estava animado,1241,Emoção,Emoção
pobrezinho jornaleiro,1242,Papel Social,Papel Social
papai querido,1245,Papel Social,Caráter
moço forte,1249,Aparência,Aparência
senhor vai ficar velho,1251,Aparência,Aparência
menino feio,1256,Aparência,Aparência
moço alegre,1258,Emoção,Caráter
homens grande,1260,Aparência,Aparência
moço era obediente,1263,Caráter,Caráter
homem louco,1266,Caráter,Caráter
homem errante,1267,Outro,Caráter
homens poderosos,1268,Papel Social,Papel Social
menino franzino,1275,Aparência,Aparência
ele ta apaixonado,1278,Emoção,Emoção
ele é proprietário,1287,Papel Social,Papel Social
homem diferente,1288,Outro,Aparência
joãozinho menino,1290,Papel Social,Aparência
menino rico,1292,Papel Social,Papel Social
menino mau,1293,Caráter,Caráter
menino agonizante,1298,Outro,Outro
ele foi aluno,1300,Papel Social,Papel Social
luizinho despachante,1333,Papel Social,Papel Social
rapaz interiorano,1338,Papel Social,Papel Social
joão negrão,1363,Aparência,Aparência
homem pequeno,1365,Aparência,Aparência
titio era cuiabano,1375,Papel Social,Papel Social
homem fraco,1409,Caráter,Aparência
zezinho solteiro,1410,Caráter,Papel Social
pobre pai,1416,Papel Social,Papel Social
ele é tão jovem,1451,Aparência,Aparência
homem escravo,1452,Papel Social,Papel Social
você está pronto,1454,Outro,Emoção
ele é inimigo,1455,Caráter,Papel Social
homem doente,1467,Outro,Aparência
césar é cego,1471,Aparência,Aparência
homem cansado,1473,Aparência,Emoção
"homem, o lobo",1474,Caráter,Aparência
você é foda,1478,Caráter,Caráter
você é induzido,1485,Outro,Outro
você é escravo,1486,Papel Social,Papel Social
você é condenado,1488,Outro,Papel Social
"rico, nobre",1489,Papel Social,Papel Social
ele é monumental,1492,Aparência,Aparência
ele é negão,1493,Aparência,Aparência
você está nervoso,1495,Emoção,Emoção
você é sempre tão sexy,1496,Aparência,Aparência
você é tão sexy,1497,Aparência,Aparência
ele tá novinho,1499,Aparência,Aparência
"namorado, amigo",1501,Papel Social,Papel Social
ele tá errado,1503,Outro,Outro
você tá doente,1504,Outro,Aparência
você é tão jovem,1505,Aparência,Aparência
eles estão surdos,1507,Outro,Outro
ele é perfeito,1509,Aparência,Aparência
você seja amante,1515,Papel Social,Papel Social
ele é legal,1516,Caráter,Caráter
cabra macho,1521,Papel Social,Caráter
homem é tão escuro,1530,Outro,Aparência
homem adulto,1532,Papel Social,Aparência
você está errado,1533,Outro,Outro
ele é fitness,1547,Aparência,Aparência
ele ta carente,1550,Papel Social,Emoção
ele fica contente,1551,Emoção,Emoção
ele ficou felizão,1552,Emoção,Emoção
garoto bonito,1554,Aparência,Aparência
ele louco,1562,Caráter,Emoção
homem sozinho,1563,Outro,Emoção
ele é levado à breca,1564,Outro,Emoção
homem fica tonto,1566,Outro,Emoção
você foi vendaval,1567,Outro,Caráter
homem fica louco,1568,Emoção,Caráter
você vai ser livre,1570,Papel Social,Emoção
senhor é autoridade,1574,Papel Social,Papel Social
homem frouxo,1580,Caráter,Caráter
homem rude,1581,Caráter,Caráter
homem namorador,1586,Caráter,Caráter
homem feio,1588,Aparência,Aparência
homem macho,1590,Caráter,Caráter
homens solitários,1592,Caráter,Emoção
homens importantes,1596,Papel Social,Papel Social
ele é valente,1599,Caráter,Caráter
homem ciumento,1600,Caráter,Caráter
marido bravo,1601,Papel Social,Emoção
menino é esperto,1603,Caráter,Caráter
você é muito estranho,1604,Caráter,Caráter
você é fraco,1605,Caráter,Aparência
homem é brabo,1611,Caráter,Caráter
ele é machão,1612,Caráter,Caráter
ele está feliz,1620,Emoção,Emoção
homem malvado,1622,Caráter,Caráter
rapaz importante,1623,Caráter,Papel Social
moço inteligente,1624,Caráter,Papel Social
rapaz grã-fino,1625,Papel Social,Papel Social
homem garanhão,1630,Caráter,Caráter
eles eram leigos,1633,Caráter,Papel Social
você é campeão,1634,Papel Social,Papel Social
você é responsável,1662,Caráter,Caráter
você é novo,1663,Aparência,Aparência
ele é digno,1665,Caráter,Caráter
ele é especialista,1669,Caráter,Papel Social
ele é doutor,1670,Papel Social,Papel Social
ele é trabalhador,1675,Papel Social,Papel Social
homem sorridente,1684,Emoção,Emoção
moço granfino,1687,Papel Social,Papel Social
ele ficou tão contente,1688,Emoção,Emoção
você será triste,1690,Emoção,Emoção
joãozinho ficou sozinho,1696,Outro,Emoção
ele é malandro,1699,Papel Social,Caráter
menino beijoqueiro,1702,Caráter,Caráter
você é calmo,1703,Emoção,Caráter
você tá bem pior,1704,Outro,Outro
você ficou calado,1721,Outro,Outro
ele fica furioso,1725,Emoção,Emoção
você é triste,1739,Emoção,Emoção
braço forte,1742,Aparência,Aparência
homens fortes,1750,Aparência,Aparência
homem explosivo,1757,Caráter,Emoção
você fica distante,1760,Outro,Emoção
você era problema,1762,Caráter,Caráter
ele era mulato,1764,Papel Social,Aparência
bruno era tão bom,1775,Caráter,Caráter
moleque fica esperto,1777,Outro,Emoção
você é bem grandinho,1779,Aparência,Aparência
você é só desprezo,1788,Outro,Caráter
homem corno,1789,Papel Social,Papel Social
homem baixo,1790,Aparência,Aparência
homem gordo,1791,Aparência,Aparência
deus grego,1793,Aparência,Aparência
ele foi tão falso,1794,Caráter,Caráter
ele é tão ocupado,1795,Outro,Outro
você é perigo,1796,Caráter,Caráter
solteiro é bem melhor,1797,Papel Social,Papel Social
garoto fenomenal,1802,Caráter,Caráter
homem moderno,1804,Aparência,Caráter
você tá doidinho,1805,Emoção,Emoção
você fica bravo,1810,Emoção,Emoção
menino grande,1811,Aparência,Aparência
você ficar parado,1819,Caráter,Outro
homem é capaz,1824,Caráter,Caráter
menino estava vivo,1825,Outro,Outro
nois é motoqueiro,1832,Papel Social,Papel Social
nois é herói,1833,Papel Social,Papel Social
nois é cowboy,1834,Papel Social,Papel Social
você estou desiludido,1836,Outro,Emoção
fazendeiro ficou admirado,1838,Emoção,Emoção
rapaz gordinho,1840,Aparência,Aparência
chico mulato,1841,Papel Social,Aparência
homem ser escravo,1845,Papel Social,Papel Social
homem carente,1847,Caráter,Emoção
marido pobre,1848,Papel Social,Papel Social
menino cínico,1850,Caráter,Caráter
homem fica brega,1859,Aparência,Aparência
você é vulgar,1863,Caráter,Aparência
você é humano,1865,Papel Social,Outro
bundão cheio,1867,Aparência,Aparência
você é lindo,1871,Aparência,Aparência
nois é goiano,1872,Papel Social,Papel Social
homem ereto,1873,Aparência,Aparência
ele é peão,1874,Papel Social,Papel Social
você fica calado,1875,Outro,Outro
ele é tão delicado,1877,Caráter,Aparência
moreno gostoso,1880,Aparência,Aparência
você é moço,1893,Papel Social,Papel Social
homens violeiros,1894,Papel Social,Papel Social
você é homem,1898,Papel Social,Outro
homens estão esquecidos,1900,Outro,Emoção
rapaz era descrente,1901,Caráter,Caráter
você é cachaceiro,1907,Caráter,Caráter
você está contente,1913,Emoção,Emoção
ele fica deslumbrado,1915,Outro,Emoção
você fico carente,1925,Emoção,Emoção
ele é ciumento,1929,Caráter,Emoção
ele era novo,1931,Aparência,Aparência
você é anormal,1933,Caráter,Caráter
você será dono,1934,Papel Social,Papel Social
eles ficam muito felizes,1935,Emoção,Emoção
homem é gay,1936,Papel Social,Caráter
você é gay,1937,Papel Social,Caráter
você é bissexual,1938,Papel Social,Caráter
eles são esquisitos,1939,Outro,Caráter
você está tão diferente,1940,Outro,Aparência
ele é chato,1941,Caráter,Caráter
você é irresistível,1942,Caráter,Caráter
você é japonês,1949,Papel Social,Papel Social
ele é reciproco,1955,Outro,Caráter
você é tão falso,1957,Caráter,Caráter
"reis, psicopatas",1958,Papel Social,Caráter
homem caucasiano,1960,Aparência,Aparência
ele é lindo,1962,Aparência,Aparência
eles ficam grudados,1963,Outro,Emoção
homem é corno,1965,Papel Social,Papel Social
ronaldo é futurista,1972,Outro,Outro
você é esquisito,1974,Aparência,Caráter
você é todo careta,1975,Caráter,Caráter
homem aranha,1983,Papel Social,Outro
você é muito grande,1984,Aparência,Aparência
"marido, um bombeiro",1991,Papel Social,Papel Social
chico tava feliz,2002,Emoção,Emoção
"senhor, cowboy",2007,Papel Social,Papel Social
ele estava inteiro,2008,Outro,Outro
homem justiceiro,2012,Papel Social,Caráter
homem cabeludo,2014,Aparência,Aparência
corpinho delicado,2021,Aparência,Aparência
você está abatido,2029,Aparência,Aparência
menino estava morto,2032,Outro,Outro
marido é violeiro,2034,Papel Social,Papel Social
"menino, mensageiro",2039,Papel Social,Papel Social
joão era pobre,2046,Papel Social,Papel Social
joão foi nascido,2047,Outro,Outro
você seja cantor,2049,Papel Social,Papel Social
ele estava tão contente,2054,Emoção,Emoção
ele é sentimental,2057,Emoção,Emoção
menino doente,2060,Aparência,Aparência
zé pretinho,2061,Papel Social,Aparência
homem humilde,2074,Caráter,Caráter
mané era pernambucano,2075,Papel Social,Papel Social
ele ficar valente,2080,Caráter,Caráter
rapaz faceiro,2081,Caráter,Emoção
homens valentes,2089,Caráter,Caráter
você é mestre,2090,Papel Social,Papel Social
homem é bom,2091,Caráter,Caráter
você fica ausente,2092,Outro,Caráter
ele tá formado,2093,Papel Social,Papel Social
você é vencedor,2098,Papel Social,Outro
homens ficam pianinho,2102,Outro,Outro
namorado tá ficando bravo,2109,Emoção,Emoção
namorado tava pobre,2112,Papel Social,Papel Social
você é muito bom,2113,Caráter,Caráter
você é passado,2114,Outro,Outro
homem gentil,2122,Caráter,Caráter
ele fica mudo,2128,Outro,Outro
homem querido,2138,Outro,Caráter
rei triste,2142,Emoção,Emoção
poeta torto,2145,Papel Social,Aparência
surfista rastafari,2149,Papel Social,Papel Social
você é muito ocupado,2150,Outro,Caráter
"maluco, doido",2151,Caráter,Emoção
homem sábio,2152,Caráter,Caráter
ele é curtição,2158,Caráter,Caráter
rapaz comum,2162,Caráter,Outro
companheiro fiel,2164,Caráter,Caráter
"rapaz, ancião",2169,Papel Social,Papel Social
ele é estranho,2171,Outro,Caráter
ele está lindo,2176,Aparência,Aparência
ele era raso,2177,Caráter,Caráter
homem bonito,2178,Aparência,Aparência
menino infeliz,2180,Emoção,Emoção
menino eletricista,2181,Papel Social,Papel Social
menino branco,2182,Aparência,Aparência
louco violento,2184,Caráter,Emoção
homem preto,2185,Aparência,Aparência
"homem, meu marido",2190,Papel Social,Papel Social
você é ligado,2191,Outro,Outro
você era pequeno,2192,Aparência,Aparência
johnny era fera,2194,Caráter,Caráter
jeremias maconheiro,2195,Papel Social,Caráter
você é tão moderno,2199,Papel Social,Caráter
você é tão esperto,2200,Caráter,Caráter
você está tão certo,2201,Outro,Caráter
rapaz perfeito,2202,Caráter,Aparência
você fica mais distante,2203,Outro,Outro
ele é invencível,2224,Caráter,Caráter
você é amado,2231,Outro,Emoção
ele é brasileiro,2232,Papel Social,Papel Social
moacir era casado,2244,Papel Social,Papel Social
menino esperto,2259,Caráter,Caráter
garoto é filho,2265,Papel Social,Papel Social
corpinho lindo,2269,Aparência,Aparência
moço alto,2270,Aparência,Aparência
você está velhinho,2274,Aparência,Aparência
homem cibernético,2278,Papel Social,Outro
homem manso,2308,Caráter,Caráter
luciano é bom,2311,Caráter,Caráter
marido serio,2312,Caráter,Caráter
pobre velho,2314,Papel Social,Papel Social
namorado louco,2323,Caráter,Emoção
moço é neurótico,2329,Caráter,Emoção
ele é tão pequeno,2334,Aparência,Aparência
jhony é menino,2354,Papel Social,Papel Social
você foi sentimento,2357,Emoção,Emoção
você será orientado,2358,Outro,Outro
"ele, o artesão",2377,Papel Social,Papel Social
ele é bilíngue,2388,Papel Social,Papel Social
menino gigante,2408,Aparência,Aparência
ele é sozinho,2409,Outro,Emoção
você é inocente,2426,Caráter,Caráter
rapaz ruim,2427,Caráter,Caráter
homem é sentimental,2429,Emoção,Emoção
ele era bom,2436,Caráter,Caráter
você está inseguro,2438,Caráter,Emoção
"senhor, seu deputado",2445,Papel Social,Papel Social
josé rico,2447,Papel Social,Papel Social
ele é governo,2448,Papel Social,Papel Social
ele é músico-problema,2451,Papel Social,Papel Social
muleque sacana,2452,Caráter,Caráter
você é pequenininho,2453,Aparência,Aparência
você é prisioneiro,2468,Papel Social,Papel Social
você é alérgico,2471,Outro,Outro
você é covarde,2473,Caráter,Caráter
ele é loiro,2483,Aparência,Aparência
ele é quente,2484,Aparência,Outro
garoto fica bobo,2486,Caráter,Emoção
zé baixinho,2487,Aparência,Aparência
ele tá doidão,2494,Emoção,Emoção
poeta operário,2497,Papel Social,Papel Social
você era mestre,2499,Papel Social,Papel Social
ele fica doido,2500,Emoção,Emoção
menino brasileiro,2502,Papel Social,Papel Social
menino travesso,2504,Caráter,Caráter
menino moreno,2516,Aparência,Aparência
menino caboclo,2517,Papel Social,Aparência
marido desnorteado,2525,Outro,Emoção
homem estranho,2528,Caráter,Caráter
homem maldito,2536,Caráter,Caráter
menino feliz,2538,Emoção,Emoção
menino caçador,2541,Papel Social,Papel Social
homem pacato,2552,Caráter,Caráter
senhores pais,2561,Papel Social,Papel Social
senhor prefeito,2562,Papel Social,Papel Social
ele é manso,2568,Caráter,Caráter
ele é doce,2569,Caráter,Emoção
"menino, bonitos",2572,Aparência,Aparência
você é furacão,2578,Caráter,Emoção
você tava carente,2579,Emoção,Emoção
namorado é pobre,2586,Papel Social,Papel Social
homem correto,2587,Caráter,Caráter
você é bobo,2595,Caráter,Emoção
ele é puro,2596,Caráter,Caráter
rostinho preocupado,2598,Outro,Aparência
rapaz cansado,2599,Outro,Aparência
você ficou tão triste,2600,Emoção,Emoção
menino louro,2606,Aparência,Aparência
você era modelo,2607,Papel Social,Aparência
homem durão,2616,Caráter,Caráter
"você, o soldado",2627,Papel Social,Papel Social
eles são lindos,2628,Aparência,Aparência
nobre doutor,2629,Papel Social,Papel Social
homem valentão,2632,Papel Social,Caráter
você é desejo,2633,Aparência,Emoção
você é merecedor,2637,Papel Social,Caráter
