Frase,id_item,anotadoras,anotadoras 2(valeria_janaina)
mina maluca,386,Emoção,Caráter
ela é formada,398,Papel Social,Papel Social
ela é sedenta,399,Caráter,Caráter
mulher independente,400,Caráter,Caráter
você é doida,401,Caráter,Caráter
ela é bem gigante,403,Aparência,Aparência
ela é violenta,405,Caráter,Caráter
menina carente,407,Caráter,Caráter
ela é calma,410,Emoção,Caráter
ela é complicada,412,Caráter,Caráter
novinha fica maluca,413,Emoção,Caráter
ela é baladeira,415,Caráter,Caráter
menina inocente,419,Caráter,Caráter
menina braba,420,Caráter,Caráter
ela é glamour,424,Aparência,Aparência
mina bumbum,426,Aparência,Aparência
mina é preparada,427,Outro,Caráter
novinha é terrorista,429,Caráter,Caráter
novinha! que novinha,432,Aparência,Aparência
mulher gostosa,433,Aparência,Aparência
mina top,441,Aparência,Aparência
mulher destemida,449,Caráter,Caráter
ela é café,450,Outro,Outro
ela é princesinha,451,Aparência,Aparência
ela é perita,454,Papel Social,Papel Social
ela tá potente,457,Outro,Emoção
você tá solteira,459,Papel Social,Papel Social
novinha tá princesa,464,Aparência,Aparência
ela é bem gostosa,466,Aparência,Aparência
mina gata,467,Aparência,Aparência
mina caliente,473,Aparência,Aparência
menina louca,480,Emoção,Caráter
mulher é foda,481,Caráter,Caráter
ela é esnobe,482,Caráter,Caráter
menina mandona,483,Caráter,Papel Social
mina séria,486,Caráter,Caráter
ela é pura,487,Caráter,Caráter
ela é preparada,490,Outro,Caráter
novinhas doidona,491,Caráter,Caráter
novinha é baladeira,494,Caráter,Caráter
novinha tá apaixonada,495,Emoção,Caráter
mulher ouro,499,Caráter,Caráter
"mulheres, irmãs",505,Papel Social,Papel Social
novinha terrível,509,Outro,Caráter
mulheres são belas,510,Aparência,Aparência
elas estão descontroladas,511,Emoção,Emoção
ela é estilo,512,Aparência,Aparência
mina é foda,513,Caráter,Caráter
ela é ambiciosa,514,Caráter,Caráter
mulheres belas,515,Aparência,Aparência
ela é real,522,Caráter,Aparência
ela tava afobada,523,Emoção,Emoção
ela é fiel,534,Caráter,Caráter
garota envolvente,537,Outro,Caráter
ela é funkeira,538,Papel Social,Papel Social
minha marrenta,539,Caráter,Caráter
garota impossível,541,Outro,Caráter
ela fica maluca,542,Emoção,Emoção
mulher maravilhosa,544,Aparência,Aparência
novinha é experiente,546,Outro,Caráter
você ta enganada,548,Outro,Emoção
mina zica,550,Caráter,Caráter
minas cachorra,553,Caráter,Caráter
mina perversa,554,Caráter,Caráter
você é cachorra,560,Caráter,Caráter
ela ta louca,561,Caráter,Emoção
ela é santa,562,Caráter,Caráter
ela é moça,563,Papel Social,Aparência
ela é criança,565,Papel Social,Papel Social
ela é inteligente,571,Caráter,Caráter
mina segura,573,Caráter,Caráter
ela é porto,575,Outro,Caráter
menina é sagaz,577,Caráter,Caráter
mina é maneira,579,Caráter,Caráter
ela é racional,583,Caráter,Caráter
ela é mais gostosa,585,Aparência,Aparência
ela é loirinha,593,Aparência,Aparência
menina carinhosa,597,Caráter,Caráter
ela é cheia de malícia,606,Caráter,Caráter
ela é abusada,607,Caráter,Caráter
ela era gostosa,609,Aparência,Aparência
menina é tenebrosa,614,Caráter,Caráter
mulher boa,616,Caráter,Aparência
ela é chata,617,Caráter,Caráter
ela ser assim tão delicada,623,Caráter,Aparência
mulheres estão atentas,625,Outro,Emoção
mulheres são muito estranhas,627,Outro,Caráter
mulher amazonense,629,Papel Social,Papel Social
mulher carioca,630,Papel Social,Papel Social
namorada pequenina,631,Aparência,Aparência
moça feia,632,Aparência,Aparência
moças pequenas,634,Aparência,Aparência
mulheres casadas,635,Papel Social,Papel Social
mulher cruel,638,Caráter,Caráter
você é meiga,642,Caráter,Caráter
senhora mãe,643,Papel Social,Papel Social
menina mãe,644,Papel Social,Papel Social
mulher morena,646,Aparência,Aparência
mulheres estão ficando loucas,651,Outro,Emoção
moça donzela,655,Aparência,Papel Social
ela é carioca,656,Papel Social,Papel Social
menina fidalga,661,Papel Social,Papel Social
meninas puras,662,Outro,Caráter
menina pura,663,Caráter,Caráter
maria cigana,681,Papel Social,Papel Social
você é mais bonita,686,Aparência,Aparência
"você, baianinha",691,Papel Social,Papel Social
"você, minha flor",692,Outro,Aparência
moça triste,701,Emoção,Emoção
"você, minha amiga",717,Papel Social,Papel Social
você é bonita,719,Aparência,Aparência
mulher nova,722,Aparência,Aparência
garotas belas,734,Aparência,Aparência
bruxinha gostosa,748,Aparência,Aparência
joana bela,751,Aparência,Aparência
amanda foi amante,762,Papel Social,Papel Social
menininha bonita,763,Aparência,Aparência
maria pobre,765,Papel Social,Papel Social
ela ser donzela,770,Papel Social,Papel Social
maria amante,772,Papel Social,Papel Social
ela for chique,798,Aparência,Aparência
tereza era tão bela,800,Aparência,Aparência
moça cheia de esperança,821,Outro,Emoção
você é tão bonita,825,Aparência,Aparência
você está sempre aflita,832,Emoção,Emoção
você está tão curtida,834,Outro,Emoção
senhora bonita,843,Aparência,Aparência
moça flor,849,Caráter,Aparência
ela está inocente,850,Caráter,Emoção
mulher diferente,863,Outro,Aparência
ela alegre,867,Emoção,Emoção
"menina, meu bem",885,Outro,Emoção
menina feia,886,Aparência,Aparência
você é feia,887,Aparência,Aparência
moça poeta,903,Papel Social,Papel Social
mulher feliz,913,Emoção,Emoção
moças bonitas,915,Aparência,Aparência
ela é tão indiscreta,917,Caráter,Aparência
mina escura,920,Aparência,Aparência
donzela felizes,933,Emoção,Emoção
moças indecentes,936,Papel Social,Aparência
ela é cheirosa,941,Aparência,Aparência
ela é charmosa,942,Aparência,Aparência
menina delicada,943,Caráter,Aparência
ela é tão sexy,946,Aparência,Aparência
ela é avó,950,Papel Social,Papel Social
você estiver sozinha,952,Outro,Emoção
ela tá afinada,956,Outro,Emoção
você fica nua,957,Aparência,Outro
você é tão gostosa,958,Aparência,Aparência
meninas deslumbrantes,961,Aparência,Aparência
namorada está certa,962,Outro,Emoção
mulher bunduda,965,Aparência,Aparência
namorada economista,966,Papel Social,Papel Social
namorada nutricionista,967,Papel Social,Papel Social
namorada arquiteta,968,Papel Social,Papel Social
namorada jornalista,969,Papel Social,Papel Social
namorada proctologista,970,Papel Social,Papel Social
maria chuteira,971,Papel Social,Papel Social
mulheres fatais,976,Caráter,Aparência
você tá muito segura,977,Caráter,Emoção
ela tá cheia,978,Outro,Emoção
mulher feia,979,Aparência,Aparência
ela é muito burguesinha,980,Papel Social,Papel Social
você está casada,987,Papel Social,Papel Social
você é criança,993,Papel Social,Papel Social
mulher dona-de-casa,994,Papel Social,Papel Social
meninas bonitas,997,Aparência,Aparência
você está louca,1006,Emoção,Emoção
garota diferente,1009,Outro,Aparência
ela está perdida,1013,Outro,Emoção
ela tava doida,1023,Emoção,Emoção
gina quer ser capa,1028,Outro,Papel Social
menina casada,1032,Papel Social,Papel Social
ela era irmã,1034,Papel Social,Papel Social
sandrinha era caçadora,1044,Papel Social,Papel Social
ela é alta,1055,Aparência,Aparência
ela foi mais feliz,1066,Emoção,Emoção
gabriela gringa,1085,Papel Social,Papel Social
ela é onda,1089,Outro,Outro
ela é ninfo,1091,Caráter,Outro
você é inferior,1116,Caráter,Outro
amiga irmã,1142,Papel Social,Papel Social
você está perdida,1153,Outro,Emoção
você está dividida,1162,Outro,Emoção
moça rica,1165,Papel Social,Papel Social
ela é muito mulher,1176,Caráter,Papel Social
mulher viúva,1177,Papel Social,Papel Social
mulher casada,1178,Papel Social,Papel Social
ela é fazendera,1184,Papel Social,Papel Social
ela estava infeliz,1193,Emoção,Emoção
ela estava deprimida,1194,Emoção,Emoção
ela sozinha,1198,Outro,Emoção
ela é culpada,1199,Outro,Papel Social
senhora sertaneja,1200,Papel Social,Papel Social
você ficar sozinha,1218,Outro,Emoção
você está arrependida,1239,Emoção,Emoção
você está presa,1266,Outro,Papel Social
ela feliz,1268,Emoção,Emoção
ela sendo tão jovem,1288,Aparência,Emoção
eliana é paraguaia,1294,Papel Social,Papel Social
dama brasileira,1296,Papel Social,Papel Social
ela é baiana,1298,Papel Social,Papel Social
você fica cheia de ciúmes,1308,Emoção,Emoção
ela está desesperada,1311,Emoção,Emoção
ela é fruto,1314,Outro,Outro
ela contente,1318,Emoção,Emoção
marlene triste,1321,Emoção,Emoção
ela está contente,1330,Emoção,Emoção
ela confiante,1334,Caráter,Emoção
ela é feliz,1338,Emoção,Emoção
moça brasileira,1340,Papel Social,Papel Social
mulher ficou contente,1342,Emoção,Emoção
você foi rainha,1351,Papel Social,Papel Social
ela é casada,1354,Papel Social,Papel Social
você é obrigada,1357,Outro,Outro
ela fica animadinha,1358,Outro,Emoção
ela tá magoada,1367,Emoção,Emoção
ela tá sozinha,1376,Caráter,Emoção
ela está feliz,1384,Emoção,Emoção
você fica sozinha,1386,Outro,Emoção
você foi professora,1393,Papel Social,Papel Social
rainha camponesa,1400,Papel Social,Papel Social
ela é miss,1405,Papel Social,Papel Social
ela é pobre,1408,Papel Social,Papel Social
mulher pobre,1411,Papel Social,Papel Social
"esposa, a rainha",1412,Papel Social,Papel Social
"moça, meu amor",1417,Outro,Papel Social
moça solteira,1424,Papel Social,Papel Social
rainha sertaneja,1434,Papel Social,Papel Social
menina tá distante,1444,Outro,Emoção
ela era mocinha,1453,Papel Social,Papel Social
você está aí sozinha,1483,Outro,Emoção
ela foi infeliz,1493,Emoção,Emoção
ela tá pirada,1506,Emoção,Emoção
menina rica,1550,Papel Social,Papel Social
mulher rica,1553,Papel Social,Papel Social
rainha mãe,1567,Papel Social,Papel Social
moça ser rica,1571,Papel Social,Papel Social
ela foi cruel,1585,Caráter,Emoção
mulher modelo,1586,Aparência,Papel Social
"menina, meu anjinho",1589,Outro,Papel Social
rainha santa,1592,Papel Social,Papel Social
maria solteira,1598,Papel Social,Papel Social
ela conseguiu se tornar celebridade,1624,Outro,Papel Social
mulheres ricas,1629,Papel Social,Papel Social
mulheres pobres,1630,Papel Social,Papel Social
ela vai presa,1631,Papel Social,Papel Social
você ta tão dispersa,1632,Outro,Emoção
você é rebelde,1640,Caráter,Papel Social
você ta famosa,1642,Outro,Papel Social
você estava acompanhada,1656,Outro,Papel Social
"esposa, mãe",1707,Papel Social,Papel Social
ela ficava sozinha,1730,Outro,Emoção
mulheres estão esperta,1741,Caráter,Emoção
mulher chorona,1752,Emoção,Emoção
mulher é viúva,1765,Papel Social,Papel Social
ela é cobaia,1802,Outro,Outro
ela fica doidinha,1819,Emoção,Emoção
você tá comprometida,1821,Papel Social,Papel Social
mulher princesa,1825,Aparência,Papel Social
você foi fingida,1841,Caráter,Emoção
mulher errante,1842,Outro,Outro
moça namoradeira,1843,Papel Social,Papel Social
você é comprometida,1845,Papel Social,Papel Social
ela estar nervosa,1847,Emoção,Emoção
"madalena, triste",1851,Emoção,Emoção
ela era moça,1852,Papel Social,Papel Social
rainha matogrossense,1871,Papel Social,Papel Social
você é companhia,1883,Outro,Outro
ela é testemunha,1923,Outro,Papel Social
você é presa,1936,Papel Social,Papel Social
ela é infeliz,1939,Emoção,Emoção
mina tá gamada,1944,Outro,Emoção
elas estão loucas,1953,Emoção,Emoção
você tá louca,1954,Emoção,Emoção
ela é brasileira,1970,Papel Social,Papel Social
ela é sambista,1972,Papel Social,Papel Social
ela é poderosa,1973,Caráter,Papel Social
você foi maldade,1984,Outro,Emoção
você foi ilusão,1986,Outro,Emoção
você tá parada,1993,Outro,Outro
ela é apaixonada,2055,Emoção,Emoção
mulher mineira,2061,Papel Social,Papel Social
mulher goiana,2062,Papel Social,Papel Social
mulher baiana,2063,Papel Social,Papel Social
ela fica aborrecida,2070,Emoção,Emoção
você é melodia,2072,Outro,Outro
ela é astral,2087,Caráter,Outro
você era saudade,2097,Emoção,Emoção
você estará perdida,2099,Outro,Emoção
ela foi dama,2135,Outro,Papel Social
ela era dama,2136,Papel Social,Papel Social
senhora dona,2149,Papel Social,Papel Social
você é tão criança,2150,Caráter,Papel Social
ela foi princesa,2155,Papel Social,Papel Social
ela está louca,2156,Emoção,Emoção
você está cansada,2167,Emoção,Emoção
você tá decidida,2190,Caráter,Emoção
mulher está grávida,2221,Papel Social,Papel Social
você está tão sozinha,2237,Outro,Emoção
ela foi modelo,2249,Aparência,Papel Social
mulher bebê,2250,Outro,Papel Social
ela ficou triste,2253,Emoção,Emoção
ela fica enlouquecida,2271,Emoção,Emoção
você foi só satisfação,2276,Outro,Emoção
você estava errada,2299,Outro,Outro
ela está sozinha,2309,Outro,Emoção
ela estava enfezada,2311,Outro,Emoção
ela estava aborrecida,2312,Emoção,Emoção
mulher sendo casada,2321,Papel Social,Papel Social
ela é filha,2323,Papel Social,Papel Social
ela está distante,2324,Outro,Emoção
ela arrependida,2372,Emoção,Emoção
ela triste,2385,Emoção,Emoção
você é feliz,2414,Emoção,Emoção
você tá ferrada,2427,Outro,Emoção
mulher está sendo mal-amada,2442,Caráter,Emoção
você está grudada,2449,Outro,Outro
ela tá sentida,2455,Emoção,Emoção
mulheres famintas,2507,Outro,Outro
ela é nobre,2515,Papel Social,Papel Social
ela indiferente,2576,Caráter,Emoção
ela era engracadinha,2605,Caráter,Emoção
ela está tão distante,2616,Outro,Emoção
mulher fica louca,2617,Outro,Emoção
ela ta cismada,2629,Outro,Emoção
meninas estão loucas,2632,Emoção,Emoção
ela está gamada,2665,Outro,Emoção
você estava sozinha,2681,Outro,Emoção
você ta baladeira,2699,Papel Social,Papel Social
você vai ser feliz,2756,Emoção,Emoção
você tá errada,2766,Outro,Outro
"mulher, conservadora",2798,Caráter,Papel Social
ela está triste,2805,Emoção,Emoção
ela está tão esquisita,2806,Caráter,Emoção
ela está tão insegura,2807,Emoção,Emoção
mulher amada,2809,Emoção,Emoção
ela estava inocente,2821,Outro,Emoção
senhora alegria,2836,Emoção,Emoção
mulher viuva,2875,Papel Social,Papel Social
senhora mulher,2876,Papel Social,Papel Social
rainha anarquista,2905,Papel Social,Papel Social
gata borralheira,2925,Papel Social,Papel Social
você fica parada,2934,Outro,Outro
rainha soberana,2956,Papel Social,Papel Social
mina loka,2958,Outro,Emoção
ela tá revoltada,2961,Emoção,Emoção
ela é rainha,2979,Papel Social,Papel Social
mulher fica nervosa,2993,Emoção,Emoção
ela fica enfezada,2995,Outro,Emoção
você é saudade,3014,Outro,Emoção
menina triste,3016,Emoção,Emoção
ela foi tão volúvel,3017,Outro,Emoção
esposa carinhosa,3033,Papel Social,Emoção
menina ficou tristonha,3043,Emoção,Emoção
ela fica nervosa,3046,Emoção,Emoção
ela foi iludida,3050,Outro,Emoção
mulher é amor,3054,Emoção,Emoção
você está enganada,3059,Outro,Emoção
ela sou tão feliz,3068,Emoção,Emoção
ela está muito contente,3075,Emoção,Emoção
ela tá doida,3134,Emoção,Emoção
ela tá louca,3135,Emoção,Emoção
"menina, deusa",3149,Aparência,Papel Social
você tá soltinha,3159,Outro,Emoção
ela estava desfalecida,3185,Outro,Outro
mulheres ficam gamada,3213,Outro,Emoção
você ficou velhinha,3214,Aparência,Aparência
você era feia,3215,Aparência,Aparência
linda estudante,3221,Aparência,Aparência
ela seria mais amarga,3236,Caráter,Emoção
você for desprezada,3240,Outro,Emoção
menina charmosa,3249,Aparência,Aparência
ela é turbinada,3254,Outro,Aparência
elas são tão belas,3269,Aparência,Aparência
moça boa,3274,Caráter,Aparência
moça sozinha,3290,Outro,Emoção
sereia bonita,3310,Aparência,Aparência
você era mais loura,3313,Aparência,Aparência
você é muito mais bela,3315,Aparência,Aparência
ela era bem bonitinha,3321,Aparência,Aparência
ela é mais sentimental,3357,Emoção,Emoção
menina aflita,3363,Emoção,Emoção
menina ruiva,3370,Aparência,Aparência
menina esguia,3376,Aparência,Aparência
"mulher, uma beleza",3378,Aparência,Aparência
"menina, morena",3387,Aparência,Aparência
"negra, negra",3398,Papel Social,Aparência
ela é explosão,3405,Caráter,Emoção
você era linda,3408,Aparência,Aparência
ela seja linda,3412,Aparência,Aparência
mulher global,3415,Outro,Outro
mulheres ficaram estéreis,3427,Outro,Aparência
ela fica parada,3428,Outro,Outro
ela fica muito louca,3430,Emoção,Emoção
menina gostosinha,3435,Aparência,Aparência
menina é muito triste,3450,Emoção,Emoção
fabiana tá usando silicone,3455,Aparência,Aparência
você é livre,3457,Outro,Outro
você é mentira,3470,Outro,Outro
você está tão fria,3477,Emoção,Aparência
mulher sentimental,3481,Caráter,Emoção
você fica tão bonita,3491,Aparência,Aparência
você é carente,3510,Emoção,Emoção
mulher faceira,3517,Caráter,Emoção
namorada amante,3527,Papel Social,Papel Social
elas ficam louca,3528,Emoção,Emoção
meninas ficam louca,3538,Emoção,Emoção
"mulher, seu corpo é uma escultura",3547,Aparência,Aparência
moça alegre,3564,Emoção,Emoção
ela fica feliz,3572,Emoção,Emoção
mulher explosiva,3582,Emoção,Emoção
mulher baixinha,3592,Aparência,Aparência
mulher usguenta,3593,Caráter,Outro
você é poesia,3595,Caráter,Outro
ela ser feliz,3602,Emoção,Emoção
ela é vulgar,3603,Caráter,Aparência
você tá estressada,3609,Emoção,Emoção
mulher avião,3617,Aparência,Outro
ela é caolha,3622,Aparência,Aparência
mulheres liberdade,3629,Outro,Outro
senhora deusa,3631,Aparência,Papel Social
"moça, formosura",3633,Aparência,Aparência
mulher sensacional,3635,Caráter,Aparência
garota boa,3636,Caráter,Aparência
musa libérrima,3653,Outro,Aparência
rainha negra,3664,Aparência,Aparência
rainha senhora,3668,Papel Social,Papel Social
menina franzina,3692,Aparência,Aparência
ela nervosa,3700,Emoção,Emoção
senhora divina,3702,Aparência,Papel Social
elas são rainhas,3704,Papel Social,Papel Social
chica boa,3713,Aparência,Aparência
mulher tá gorda,3749,Aparência,Aparência
menina ofegante,3759,Outro,Outro
você era tão bonita,3769,Aparência,Aparência
você foi tão clara,3777,Outro,Outro
você estava enganada,3792,Outro,Emoção
você é flor,3793,Caráter,Outro
ela tá muito louca,3795,Emoção,Emoção
garota parecia forte,3796,Aparência,Aparência
mariazinha morena,3837,Aparência,Aparência
"mulher, tua força",3841,Caráter,Aparência
"mulher, tua beleza",3842,Aparência,Aparência
ela era tão bonita,3844,Aparência,Aparência
mulheres negras,3860,Papel Social,Aparência
você está tão bonita,3861,Aparência,Aparência
ela é sinistra,3863,Caráter,Caráter
ela é sagaz,3870,Caráter,Caráter
mulher é apenas objeto,3871,Papel Social,Caráter
mulher dama,3890,Papel Social,Papel Social
ela é diva,3897,Papel Social,Aparência
ela incrivel,3898,Caráter,Aparência
índia formosa,3903,Aparência,Aparência
menina loca,3905,Emoção,Caráter
donzelas tímidas,3911,Caráter,Caráter
ela é grude,3914,Outro,Emoção
você é galinha,3915,Caráter,Caráter
você tá bonita,3917,Aparência,Aparência
mulheres incríveis,3918,Caráter,Aparência
você estava tão segura,3930,Caráter,Caráter
você é desumana,3931,Caráter,Caráter
ela foi muito maldosa,3941,Caráter,Caráter
ela é legal,3948,Caráter,Caráter
"mulher, dependente",3949,Papel Social,Caráter
moça fiel,3954,Caráter,Caráter
ela foi bandida,3960,Papel Social,Caráter
você é gordinha,3981,Aparência,Caráter
mina ficou maluca,3984,Emoção,Aparência
moça bruta,3986,Caráter,Emoção
moças namoradeira,3998,Papel Social,Caráter
"esposa, minha glória",3999,Papel Social,Caráter
mulher tá cansada,4004,Outro,Caráter
ela é verdadeira,4021,Caráter,Aparência
menina namoradeira,4031,Papel Social,Caráter
meninas carinhosas,4033,Caráter,Caráter
você estava apaixonada,4038,Emoção,Caráter
"menina, ingênua",4039,Caráter,Emoção
você estão fechadas,4050,Outro,Caráter
ela fica mais bonita,4051,Aparência,Outro
ela é muito atraente,4053,Aparência,Aparência
ela é vidrada,4064,Outro,Aparência
novinha delícia,4081,Aparência,Outro
você é tentação,4085,Aparência,Aparência
ela é muito triste,4088,Emoção,Aparência
ela é forte,4090,Caráter,Emoção
você tá pirada,4091,Emoção,Caráter
você é palhaça,4093,Caráter,Emoção
mulher sensual,4103,Aparência,Caráter
mina é linda,4116,Aparência,Aparência
você tá maluca,4129,Emoção,Aparência
menina faceira,4134,Caráter,Caráter
ela está disposta,4142,Outro,Emoção
mina é esperta,4145,Caráter,Caráter
ela estava ausente,4154,Outro,Caráter
você está apaixonada,4167,Emoção,Caráter
mariana romântica,4168,Outro,Emoção
mulher traiçoeira,4180,Caráter,Emoção
menina massa,4185,Caráter,Caráter
mina porreta,4186,Caráter,Caráter
mulher clara,4191,Outro,Caráter
ana carinhosa,4196,Caráter,Aparência
mulher é fácil,4206,Caráter,Emoção
ela é brincadeira,4214,Outro,Caráter
garota manhosa,4218,Emoção,Caráter
Mulher sabe machucar,4223,Outro,Caráter
você tá linda,4232,Aparência,Caráter
mulher é feia,4240,Aparência,Aparência
ela é tão feia,4242,Aparência,Aparência
você está crescida,4250,Aparência,Aparência
ela é muito importante,4252,Caráter,Aparência
você é alma,4254,Outro,Caráter
ela for cheirosa,4264,Aparência,Outro
ela for bonita,4265,Aparência,Aparência
moça granfina,4273,Aparência,Aparência
você ficou estranha,4277,Caráter,Aparência
mulher fiel,4292,Caráter,Emoção
você é alegria,4296,Emoção,Caráter
ela tá maluca,4300,Caráter,Emoção
você fica maluca,4309,Caráter,Emoção
voce é invejosa,4312,Caráter,Emoção
Mina cheia de marra,4317,Caráter,Caráter
novinhas solteiras,4318,Papel Social,Caráter
você tá enganada,4319,Outro,Papel Social
ela é surreal,4321,Aparência,Caráter
você tá facinha,4327,Caráter,Caráter
mina careca,4328,Aparência,Caráter
mina caolha,4329,Aparência,Aparência
mulher novinha,4338,Aparência,Aparência
ela é cachorra,4345,Caráter,Aparência
ela é comportadinha,4346,Papel Social,Caráter
